precinct_id,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
MUSCOGEE - 103,7572,109,7458,630,6256,0,0,0,388,58,0,85,13,14,85,6327,5986,90,5889,635,5053,5,0,4,98,46,0,10,11,29,10,5113
MUSCOGEE - 104,3759,453,3303,2382,743,0,80,0,0,0,3,128,0,2,203,749,2760,284,2485,1763,601,0,80,0,0,0,0,47,0,0,127,602
MUSCOGEE - 105,5182,240,4945,3575,897,0,110,0,0,198,5,74,68,74,189,1157,3901,209,3684,2676,799,0,75,0,0,42,0,31,65,65,106,905
MUSCOGEE - 106,10049,877,9174,5992,2209,4,514,0,0,205,139,117,0,140,631,2414,7705,431,7272,5071,1528,0,370,0,0,141,86,80,0,82,451,1673
MUSCOGEE - 107,7743,890,6838,3655,2864,0,44,39,66,79,99,30,0,102,77,2934,5665,537,5113,2952,1916,0,44,34,29,33,98,14,0,98,60,1949
MUSCOGEE - 108,8860,860,7988,6361,1251,0,132,0,82,86,22,64,0,23,196,1345,6537,548,5975,4786,959,0,97,0,23,18,21,62,0,21,158,991
MUSCOGEE - 109,3146,158,3004,2323,273,0,208,5,0,68,94,28,0,93,235,335,2614,136,2493,2023,234,0,128,3,0,73,39,13,0,39,139,295
MUSCOGEE - 110,10629,1093,9583,541,8765,0,111,0,0,167,0,0,12,11,111,8929,7109,589,6531,482,5870,0,68,0,0,108,11,0,6,23,68,5973
MUSCOGEE - 112,19789,2368,17398,6022,9856,61,343,99,207,135,73,529,97,232,867,10102,13485,1258,12218,4171,7060,18,305,73,85,102,61,270,94,172,573,7254
MUSCOGEE - 113,8672,388,8287,970,6889,0,172,14,77,108,1,34,16,15,214,7009,6656,237,6431,839,5365,0,96,17,45,51,0,21,13,0,119,5428
MUSCOGEE - 114,5102,233,4879,913,3977,0,27,0,26,11,10,17,0,9,37,3995,3867,171,3697,751,2935,0,29,0,8,9,7,18,0,7,39,2949
MUSCOGEE - 115,12609,531,12079,3236,8342,0,31,0,20,348,19,72,35,56,95,8722,10436,460,9976,2741,6842,0,13,0,24,254,25,42,38,63,55,7133
MUSCOGEE - 116,12390,874,11504,1746,8556,5,157,35,52,668,94,8,70,170,177,9285,8805,526,8275,1412,6286,0,156,33,39,148,101,8,25,127,172,6455
MUSCOGEE - 117,8746,767,7989,4109,3281,10,20,34,131,156,75,3,107,178,24,3551,6962,525,6443,3552,2414,12,19,29,91,124,48,5,113,157,23,2646
MUSCOGEE - 118,7028,417,6596,4900,1140,2,238,0,194,54,36,92,0,43,345,1196,5180,258,4914,3658,900,4,173,0,107,21,30,58,0,38,244,912
MUSCOGEE - 119,8273,956,7288,5244,1710,0,123,5,91,35,36,26,0,39,148,1746,6537,858,5664,4212,1239,0,118,6,0,19,38,23,0,43,142,1260
MUSCOGEE - 120,12138,975,11192,5970,4060,6,651,0,123,100,37,117,98,140,773,4249,9301,785,8540,4638,3078,0,519,0,34,62,28,77,89,117,597,3210
MUSCOGEE - 121,4251,900,3355,1553,1445,0,108,0,0,185,0,93,8,1,201,1633,3214,318,2897,1357,1305,0,107,0,0,38,0,95,0,3,202,1352
MUSCOGEE - 122,2705,122,2586,1134,1274,0,56,0,4,64,9,16,0,10,72,1338,2338,117,2229,1046,1065,4,56,0,3,14,10,16,3,14,73,1077
MUSCOGEE - 124,7756,486,7275,3674,3203,18,44,0,9,94,70,149,0,85,178,3296,5447,292,5159,3020,1893,13,51,0,11,25,70,65,0,83,97,1919
MUSCOGEE - 125,4740,322,4432,1717,2350,0,66,39,120,110,5,4,0,5,77,2472,3732,305,3431,1426,1714,0,81,40,45,115,5,0,0,6,87,1836
MUSCOGEE - 126,4813,53,4757,1685,2669,0,159,0,67,123,44,0,0,52,159,2795,3853,14,3836,1556,1966,0,158,0,19,74,47,5,0,56,164,2049
MUSCOGEE - 127,10445,863,9575,5412,3356,12,280,0,234,106,57,83,26,101,359,3488,7265,450,6807,4048,2249,14,256,0,119,18,35,41,29,75,294,2298
NEWTON - 01CP,2206,98,2104,986,1088,0,32,0,36,112,55,26,60,95,53,1245,1758,80,1682,761,900,0,28,0,36,69,27,13,58,66,39,1027
NEWTON - 02TN,6476,458,6033,1365,4219,0,80,0,0,138,30,21,20,37,103,4385,4759,198,4577,1165,3106,3,29,0,0,93,30,19,18,35,57,3233
NEWTON - 03ALM,6041,258,5762,955,4521,0,1,0,133,151,13,6,0,14,5,4678,5075,137,4933,832,3863,0,0,0,95,175,10,6,0,11,5,4021
NEWTON - 04ALC,8744,400,8353,4627,3290,0,9,0,40,108,36,6,41,100,14,3463,6251,147,6117,3429,2351,0,7,0,45,59,30,10,38,89,8,2463
NEWTON - 05CM,4518,759,3792,1850,1578,0,149,0,28,83,60,0,6,79,144,1677,3316,350,2951,1616,1140,0,71,0,26,48,51,0,6,70,69,1194
NEWTON - 06BRW,5462,126,5351,3625,1479,0,119,0,31,5,34,0,0,35,111,1491,3989,69,3921,2676,1052,0,89,0,0,5,39,0,0,39,84,1059
NEWTON - 07BS,3566,249,3320,2418,738,0,0,0,54,17,50,0,48,82,0,791,2792,163,2640,1940,554,4,0,0,25,0,50,0,47,92,0,601
NEWTON - 08CS,4903,248,4683,2241,2239,0,29,0,25,174,22,0,0,21,30,2417,3540,171,3417,1727,1549,1,38,0,0,94,11,0,0,13,38,1640
NEWTON - 09LIV,6653,284,6397,1437,4683,0,21,0,5,386,6,33,0,6,54,5162,4900,124,4789,1301,3640,0,23,0,0,37,8,0,0,8,23,3673
NEWTON - 10DN,8718,390,8307,4014,3685,0,47,0,0,475,0,17,0,0,64,4077,6369,265,6088,3027,2901,0,9,0,0,19,0,13,0,0,22,2936
NEWTON - 12GC,4610,138,4466,2844,1533,3,4,0,13,29,6,0,0,10,4,1552,3971,129,3841,2445,1304,0,0,0,7,30,3,7,0,4,7,1331
NEWTON - 13BD,9664,443,9244,2498,6211,0,13,0,0,465,11,0,13,28,13,6689,6366,204,6182,1950,4139,0,12,0,0,83,10,0,0,13,12,4224
NEWTON - 14LEG,2912,125,2741,2380,409,0,31,0,15,10,4,0,0,3,38,420,2164,76,2091,1758,336,2,5,0,5,7,1,0,0,3,12,344
NEWTON - 15MN,2077,61,2024,1657,273,0,0,0,0,38,17,0,0,17,0,320,1525,29,1501,1258,170,0,0,0,0,65,16,0,0,15,0,210
NEWTON - 16NB,1113,52,1068,904,117,0,0,0,0,36,35,0,0,36,0,153,885,38,848,704,101,0,0,0,0,11,36,0,0,36,0,123
